Group,Political_Leaning,Source_Type,Year,Total_Comments,Contra_Prop,Neutral_Prop,Pro_Prop
Contra-Balance,Left,Content Creator,2020,4,0.25,0.75,0.0
Contra-Balance,Left,Content Creator,2021,38,0.3897058823529412,0.5661764705882353,0.04411764705882353
Contra-Balance,Left,Content Creator,2022,26,0.375,0.5,0.125
Contra-Balance,Left,Content Creator,2023,33,0.7083333333333333,0.22023809523809523,0.07142857142857142
Contra-Balance,Left,Content Creator,2024,14,0.48888888888888893,0.4111111111111111,0.1
Contra-Balance,Left,News Channel,2020,117,0.42620148856990964,0.4481047315257842,0.12569377990430622
Contra-Balance,Left,News Channel,2021,572,0.6209426665171142,0.30456667672423265,0.07449065675865295
Contra-Balance,Left,News Channel,2022,564,0.5285915828906532,0.3712871787186144,0.10012123839073223
Contra-Balance,Left,News Channel,2023,610,0.572088872374958,0.37570401198136666,0.05220711564367537
Contra-Balance,Left,News Channel,2024,581,0.6044674415636718,0.3397506213378884,0.05578193709843991
Contra-Balance,Left,News Channel,2025,4,0.25,0.75,0.0
Contra-Balance,Right,Content Creator,2020,2,0.0,1.0,0.0
Contra-Balance,Right,Content Creator,2021,20,0.45054945054945056,0.510989010989011,0.038461538461538464
Contra-Balance,Right,Content Creator,2022,18,0.25,0.7083333333333334,0.041666666666666664
Contra-Balance,Right,Content Creator,2023,9,0.0,1.0,0.0
Contra-Balance,Right,Content Creator,2024,14,0.4791666666666667,0.5208333333333334,0.0
Contra-Balance,Right,News Channel,2020,147,0.6416082343443663,0.2809345006983688,0.07745726495726496
Contra-Balance,Right,News Channel,2021,519,0.6043852324572938,0.31851115535554814,0.07710361218715812
Contra-Balance,Right,News Channel,2022,631,0.5395521540785343,0.4090573079094065,0.051390538012059214
Contra-Balance,Right,News Channel,2023,482,0.6167280128178131,0.32113725482485833,0.062134732357328616
Contra-Balance,Right,News Channel,2024,391,0.629408099565006,0.3106479803817338,0.05994392005326031
Contra-Balance,Right,News Channel,2025,2,0.5,0.0,0.5
Contra-Cross,Left,Content Creator,2020,135,0.45805469638421575,0.4835952758149554,0.05835002780082872
Contra-Cross,Left,Content Creator,2021,552,0.46504655373941894,0.446236407582517,0.08871703867806392
Contra-Cross,Left,Content Creator,2022,551,0.4001238466569174,0.46985076755627275,0.13002538578680978
Contra-Cross,Left,Content Creator,2023,405,0.5086995576416506,0.4321508145594905,0.059149627798858954
Contra-Cross,Left,Content Creator,2024,359,0.4958770519035959,0.39482537107469395,0.10929757702171027
Contra-Cross,Left,News Channel,2020,276,0.5358213015124081,0.3910040171260493,0.07317468136154262
Contra-Cross,Left,News Channel,2021,1348,0.555267048478346,0.34894705872049214,0.09578589280116191
Contra-Cross,Left,News Channel,2022,1338,0.5392648788373084,0.3708167740300514,0.08991834713264
Contra-Cross,Left,News Channel,2023,1183,0.5869762582331937,0.335376731545315,0.07764701022149154
Contra-Cross,Left,News Channel,2024,653,0.578981346052949,0.34619056977490176,0.07482808417214933
Contra-Cross,Right,News Channel,2020,26,0.5490196078431372,0.411764705882353,0.0392156862745098
Contra-Cross,Right,News Channel,2021,35,0.4927738927738928,0.3851398601398601,0.12208624708624707
Contra-Cross,Right,News Channel,2022,21,0.5,0.5,0.0
Contra-Cross,Right,News Channel,2023,25,0.4474206349206349,0.4811507936507936,0.07142857142857142
Contra-Cross,Right,News Channel,2024,40,0.8385416666666666,0.09895833333333333,0.0625
Contra-Echo,Left,News Channel,2020,9,0.175,0.775,0.05
Contra-Echo,Left,News Channel,2021,297,0.5738283928372108,0.3934046768612568,0.03276693030153238
Contra-Echo,Left,News Channel,2022,552,0.5674265674939649,0.39926603402300603,0.033307398483029084
Contra-Echo,Left,News Channel,2023,413,0.5350960992423658,0.42704169260248903,0.037862208155145176
Contra-Echo,Left,News Channel,2024,173,0.6072065533365844,0.337008055583907,0.05578539107950872
Contra-Echo,Left,News Channel,2025,5,0.8,0.2,0.0
Contra-Echo,Right,Content Creator,2020,2,0.0,1.0,0.0
Contra-Echo,Right,Content Creator,2021,117,0.481483789688124,0.48327570262554786,0.03524050768632812
Contra-Echo,Right,Content Creator,2022,224,0.5188953889839809,0.4520945705816908,0.02901004043432829
Contra-Echo,Right,Content Creator,2023,150,0.4901148697591385,0.44949224030251694,0.06039288993834449
Contra-Echo,Right,Content Creator,2024,137,0.5148023360287511,0.4645001225189904,0.020697541452258435
Contra-Echo,Right,Content Creator,2025,1,1.0,0.0,0.0
Contra-Echo,Right,News Channel,2020,120,0.47218111346018327,0.5047568710359408,0.02306201550387597
Contra-Echo,Right,News Channel,2021,1086,0.5500615488253298,0.39960818156273326,0.05033026961193705
Contra-Echo,Right,News Channel,2022,1885,0.5359182352113561,0.4166317512753878,0.047450013513256055
Contra-Echo,Right,News Channel,2023,1042,0.5719781625513594,0.39478698394914574,0.0332348534994949
Contra-Echo,Right,News Channel,2024,795,0.6432959730201808,0.32217000544832436,0.03453402153149467
Contra-Echo,Right,News Channel,2025,2,1.0,0.0,0.0
Control,Left,Content Creator,2020,157,0.20897031539888686,0.7345686456400743,0.056461038961038955
Control,Left,Content Creator,2021,459,0.2666415984616786,0.6529602874449181,0.08039811409340311
Control,Left,Content Creator,2022,346,0.19224397748079947,0.6154391692397804,0.19231685327942014
Control,Left,Content Creator,2023,337,0.22553895045686023,0.6321537006373766,0.14230734890576338
Control,Left,Content Creator,2024,310,0.3250928108110968,0.4866012271243265,0.18830596206457664
Control,Left,Content Creator,2025,1,0.0,0.0,1.0
Control,Left,News Channel,2020,99,0.15321610125531693,0.7335849154476607,0.1131989832970225
Control,Left,News Channel,2021,330,0.19504503338235396,0.6573056263247651,0.147649340292881
Control,Left,News Channel,2022,333,0.2156642676571508,0.6615723102472977,0.12276342209555141
Control,Left,News Channel,2023,265,0.26060895076493124,0.6566921983922221,0.08269885084284656
Control,Left,News Channel,2024,150,0.4082258709451692,0.5258022192232719,0.06597190983155896
Control,Right,Content Creator,2020,1,0.0,1.0,0.0
Control,Right,Content Creator,2021,25,0.28,0.52,0.2
Control,Right,Content Creator,2022,13,0.46153846153846156,0.5384615384615384,0.0
Control,Right,Content Creator,2023,25,0.08,0.56,0.36
Control,Right,Content Creator,2024,1,1.0,0.0,0.0
Control,Right,News Channel,2020,45,0.037037037037037035,0.8611111111111112,0.10185185185185186
Control,Right,News Channel,2021,31,0.4305555555555555,0.5694444444444444,0.0
Control,Right,News Channel,2022,41,0.37384259259259256,0.5231481481481481,0.10300925925925926
Control,Right,News Channel,2023,16,0.11904761904761904,0.7595238095238095,0.12142857142857143
Control,Right,News Channel,2024,9,0.19444444444444442,0.6388888888888888,0.16666666666666666
Control-Ex,Left,Content Creator,2020,3,0.0,0.3333333333333333,0.6666666666666666
Control-Ex,Left,Content Creator,2021,12,0.5,0.08333333333333333,0.4166666666666667
Control-Ex,Left,Content Creator,2022,39,0.15384615384615385,0.7692307692307693,0.07692307692307693
Control-Ex,Left,Content Creator,2023,2,1.0,0.0,0.0
Control-Ex,Left,Content Creator,2024,1,1.0,0.0,0.0
Control-Ex,Left,News Channel,2021,10,0.1875,0.8125,0.0
Control-Ex,Left,News Channel,2022,31,0.08695652173913043,0.7853260869565217,0.12771739130434784
Control-Ex,Left,News Channel,2023,34,0.1111111111111111,0.5911111111111111,0.2977777777777778
Control-Ex,Left,News Channel,2024,25,0.25,0.75,0.0
Control-Ex,Right,Content Creator,2021,15,0.1,0.9,0.0
Control-Ex,Right,Content Creator,2022,61,0.14035087719298245,0.7982456140350878,0.06140350877192982
Control-Ex,Right,Content Creator,2023,62,0.1271186440677966,0.7966101694915254,0.07627118644067797
Control-Ex,Right,Content Creator,2024,119,0.2813131313131313,0.6631313131313131,0.05555555555555555
Control-Ex,Right,News Channel,2020,21,0.12280701754385964,0.8596491228070176,0.017543859649122806
Control-Ex,Right,News Channel,2021,82,0.23904718137254902,0.6708377100840337,0.09011510854341735
Control-Ex,Right,News Channel,2022,145,0.23583470093767575,0.6934666669601834,0.07069863210214088
Control-Ex,Right,News Channel,2023,93,0.24286895690404464,0.6318945511927968,0.12523649190315858
Control-Ex,Right,News Channel,2024,52,0.23854166666666665,0.503125,0.2583333333333333
Control-Ex,Right,News Channel,2025,2,0.5,0.0,0.5
Pro,Left,Content Creator,2020,447,0.05762990762990763,0.730839475839476,0.21153061653061647
Pro,Left,Content Creator,2021,1459,0.08826833673047461,0.6210035204607216,0.29072814280880377
Pro,Left,Content Creator,2022,1372,0.1098047531706558,0.638279895170814,0.25191535165853
Pro,Left,Content Creator,2023,1111,0.10362829193522183,0.6241002388082825,0.27227146925649587
Pro,Left,Content Creator,2024,1111,0.10671082720403464,0.5473503760557784,0.34593879674018674
Pro,Left,News Channel,2020,138,0.15131339853562076,0.622406605739939,0.22627999572444019
Pro,Left,News Channel,2021,679,0.11076273906130804,0.5484848372915314,0.34075242364716046
Pro,Left,News Channel,2022,755,0.1245574094510865,0.5220283376395193,0.3534142529093941
Pro,Left,News Channel,2023,618,0.1043321078674586,0.5099117553231977,0.38575613680934384
Pro,Left,News Channel,2024,374,0.14045155591374078,0.44921445967664453,0.4103339844096147
Pro,Right,News Channel,2020,37,0.08226495726495726,0.7510683760683761,0.16666666666666666
Pro,Right,News Channel,2021,82,0.10991704374057315,0.6612439847733965,0.2288389714860303
Pro,Right,News Channel,2022,153,0.1369047619047619,0.5124131944444444,0.35068204365079364
Pro,Right,News Channel,2023,88,0.13872549019607844,0.6329656862745099,0.22830882352941176
Pro,Right,News Channel,2024,85,0.09732789855072463,0.6405344202898551,0.26213768115942027
