Channel,Political_Leaning,Source_Type,Year,Total_Comments,Contra_Prop,Neutral_Prop,Pro_Prop
Megyn Kelly,Right,Content Creator,2021,4343,0.1720009210223348,0.7870135850794382,0.04098549389822703
Megyn Kelly,Right,Content Creator,2022,8494,0.14904638568401224,0.811396279726866,0.03955733458912173
Megyn Kelly,Right,Content Creator,2023,18115,0.24062931272426166,0.6991995583770356,0.060171128898702735
Megyn Kelly,Right,Content Creator,2024,30843,0.40291151963168303,0.5174269688422009,0.07966151152611614
DailyWire+,Right,Content Creator,2020,1718,0.27357392316647267,0.6786961583236322,0.047729918509895226
DailyWire+,Right,Content Creator,2021,9025,0.26526315789473687,0.6433240997229916,0.09141274238227147
DailyWire+,Right,Content Creator,2022,1111,0.07650765076507651,0.8676867686768677,0.0558055805580558
DailyWire+,Right,Content Creator,2023,38,0.21052631578947367,0.7105263157894737,0.07894736842105263
DailyWire+,Right,Content Creator,2024,603,0.42786069651741293,0.4096185737976783,0.1625207296849088
Inside Edition,Left,News Channel,2020,7406,0.07966513637591142,0.8706454226302998,0.049689440993788817
Inside Edition,Left,News Channel,2021,34619,0.09746093185822814,0.8333862907651868,0.06915277737658511
Inside Edition,Left,News Channel,2022,57919,0.10514684300488614,0.8285191387972859,0.066334018197828
Inside Edition,Left,News Channel,2023,7784,0.07451181911613566,0.8846351490236383,0.040853031860226104
Inside Edition,Left,News Channel,2024,4557,0.15185429010313803,0.7798990563967523,0.06824665350010972
Matt Walsh,Right,Content Creator,2020,18,0.1111111111111111,0.8888888888888888,0.0
Matt Walsh,Right,Content Creator,2021,1518,0.2977602108036891,0.6561264822134387,0.0461133069828722
Matt Walsh,Right,Content Creator,2022,3536,0.16855203619909503,0.7842194570135747,0.047228506787330315
Matt Walsh,Right,Content Creator,2023,9993,0.204142900030021,0.7077954568197738,0.08806164315020515
Matt Walsh,Right,Content Creator,2024,22977,0.4945380162771467,0.3771162466814641,0.1283457370413892
Fox Business,Right,News Channel,2020,15734,0.43917630608872504,0.4330748697089106,0.1277488242023643
Fox Business,Right,News Channel,2021,79733,0.4300854100560621,0.48340085033800306,0.08651373960593481
Fox Business,Right,News Channel,2022,112455,0.44469343292872704,0.4749544262149304,0.08035214085634254
Fox Business,Right,News Channel,2023,60421,0.4383078730904818,0.47235232783303815,0.08933979907648003
Fox Business,Right,News Channel,2024,32752,0.520243038593063,0.3715498290180752,0.10820713238886175
VICE News,Left,News Channel,2020,21023,0.202968177710127,0.6611330447605004,0.1358987775293726
VICE News,Left,News Channel,2021,53948,0.23111144064654854,0.5889745681026174,0.17991399125083413
VICE News,Left,News Channel,2022,42482,0.230050374276164,0.572430676521821,0.19751894920201496
VICE News,Left,News Channel,2023,14553,0.2619391190819762,0.536178107606679,0.20188277331134474
VICE News,Left,News Channel,2024,6567,0.34719049794426676,0.4568296025582458,0.19597989949748743
Brian Tyler Cohen,Left,Content Creator,2020,6092,0.0618844386080105,0.8350295469468155,0.103086014445174
Brian Tyler Cohen,Left,Content Creator,2021,7060,0.06062322946175638,0.7913597733711049,0.14801699716713881
Brian Tyler Cohen,Left,Content Creator,2022,9321,0.22057719128848835,0.5514429782212209,0.22797983049029075
Brian Tyler Cohen,Left,Content Creator,2023,23159,0.09978841918908415,0.8002936223498424,0.09991795846107344
Brian Tyler Cohen,Left,Content Creator,2024,13019,0.14463476457485214,0.6450572240571473,0.21030801136800062
The Young Turks,Left,Content Creator,2020,16220,0.20135635018495684,0.583600493218249,0.21504315659679407
The Young Turks,Left,Content Creator,2021,36263,0.15495132779968562,0.6612800926564266,0.1837685795438877
The Young Turks,Left,Content Creator,2022,35663,0.14718335529820822,0.6438886240641561,0.20892802063763566
The Young Turks,Left,Content Creator,2023,38404,0.2176596187897094,0.5829861472763254,0.1993542339339652
The Young Turks,Left,Content Creator,2024,40795,0.24907464150018385,0.5189116313273685,0.23201372717244761
CBS News,Left,News Channel,2020,26330,0.26391948347892136,0.5650208887200912,0.17105962780098746
CBS News,Left,News Channel,2021,42451,0.36430237214671035,0.46632588160467364,0.16937174624861606
CBS News,Left,News Channel,2022,37440,0.34137286324786326,0.4686431623931624,0.18998397435897435
CBS News,Left,News Channel,2023,43944,0.4849126160567996,0.3335381394502094,0.1815492444929911
CBS News,Left,News Channel,2024,43204,0.40614294972687714,0.3976946579020461,0.19616239237107674
ABC News,Left,News Channel,2020,15356,0.24589736910653817,0.5350351654076583,0.2190674654858036
ABC News,Left,News Channel,2021,65317,0.3214936387158014,0.4991043679287169,0.17940199335548174
ABC News,Left,News Channel,2022,78176,0.2629195661072452,0.5595707122390503,0.17750972165370446
ABC News,Left,News Channel,2023,40543,0.41610142318032706,0.41994918974915524,0.16394938707051773
ABC News,Left,News Channel,2024,33982,0.40062385969042436,0.3689011829792243,0.23047495733035137
LiveNOW from FOX,Right,News Channel,2020,11542,0.31580315369953216,0.5999826719805926,0.08421417431987524
LiveNOW from FOX,Right,News Channel,2021,12813,0.3689221884024038,0.553812534145009,0.07726527745258721
LiveNOW from FOX,Right,News Channel,2022,10341,0.30906101924378687,0.5542017213035489,0.13673725945266416
LiveNOW from FOX,Right,News Channel,2023,33076,0.545561736606603,0.3103156367154432,0.1441226266779538
LiveNOW from FOX,Right,News Channel,2024,54174,0.5167238896887806,0.33150588843356593,0.1517702218776535
Charlie Kirk,Right,Content Creator,2023,722,0.4445983379501385,0.35318559556786705,0.20221606648199447
Charlie Kirk,Right,Content Creator,2024,17175,0.42509461426491996,0.38829694323144104,0.186608442503639
Ben Shapiro,Right,Content Creator,2020,1551,0.1450676982591876,0.7414571244358479,0.11347517730496454
Ben Shapiro,Right,Content Creator,2021,25895,0.2558795134195791,0.6665765591813091,0.0775439273991118
Ben Shapiro,Right,Content Creator,2022,15896,0.25603925515853043,0.6652617010568697,0.0786990437845999
Ben Shapiro,Right,Content Creator,2023,26711,0.2907416420201415,0.6097113548725245,0.09954700310733405
Ben Shapiro,Right,Content Creator,2024,23509,0.34539963418265346,0.5619549959589945,0.09264536985835212
David Pakman Show,Left,Content Creator,2020,4621,0.08547933347760225,0.8080502055832071,0.10647046093919064
David Pakman Show,Left,Content Creator,2021,17238,0.13806706114398423,0.651293653556097,0.2106392852999188
David Pakman Show,Left,Content Creator,2022,19420,0.1243048403707518,0.7131822863027807,0.16251287332646755
David Pakman Show,Left,Content Creator,2023,28989,0.16388975128497016,0.6347235158163441,0.20138673289868572
David Pakman Show,Left,Content Creator,2024,52654,0.2391081399323888,0.44765829756523723,0.313233562502374
